Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Shares (Basic)";"Shares (Diluted)";"Net Income/Starting Line";"Depreciation & Amortization";"Provision for Loan Losses";"Non-Cash Items";"Change in Working Capital";"Net Cash from Operating Activities";"Change in Fixed Assets & Intangibles";"Net Change in Loans & Interbank";"Net Cash from Acquisitions & Divestitures";"Net Cash from Investing Activities";"Dividends Paid";"Cash from (Repayment of) Debt";"Cash from (Repurchase of) Equity";"Net Cash from Financing Activities";"Effect of Foreign Exchange Rates";"Net Change in Cash"
NAVI;551008;USD;2017;Q2;2017-06-30;2017-08-01;280000000;285000000;112000000;;105000000;18000000;40000000;275000000;;;;-1133000000;-45000000;-1395000000;-165000000;647000000;;-211000000
NAVI;551008;USD;2017;Q3;2017-09-30;2017-10-27;269000000;274000000;176000000;;105000000;-35000000;43000000;289000000;;;;3194000000;-42000000;-6019000000;-165000000;-3388000000;;95000000
NAVI;551008;USD;2017;Q4;2017-12-31;2018-02-26;262000000;269000000;-84000000;;109000000;-38000000;256000000;243000000;;;-134000000;2424000000;-43000000;-3826000000;0;-2397000000;;270000000
NAVI;551008;USD;2018;Q1;2018-03-31;2018-05-03;264000000;269000000;126000000;;87000000;-41000000;112000000;284000000;;;;2721000000;-42000000;-5683000000;;-1854000000;;1151000000
NAVI;551008;USD;2018;Q2;2018-06-30;2018-08-03;265000000;269000000;84000000;;112000000;20000000;-18000000;198000000;;;;3035000000;-43000000;-5505000000;;-4022000000;;-789000000
NAVI;551008;USD;2018;Q3;2018-09-30;2018-11-02;260000000;264000000;113000000;;85000000;-13000000;-12000000;173000000;;;;2443000000;-41000000;-3910000000;;-2376000000;;240000000
NAVI;551008;USD;2018;Q4;2018-12-31;2019-02-26;251000000;254000000;72000000;;86000000;124000000;203000000;485000000;;;;2161000000;-40000000;-4244000000;-125000000;-2632000000;;14000000
NAVI;551008;USD;2019;Q1;2019-03-31;2019-05-03;244000000;247000000;128000000;;76000000;49000000;-65000000;188000000;;;;2408000000;-39000000;-5888000000;-107000000;-3638000000;;-1042000000
NKSH;129536;USD;2011;Q2;2011-06-30;2012-05-09;6936501;6946852;4216000;529000;753000;41000;-1230000;4309000;-71000;-5675000;;-5985000;;;26000;2989000;;1313000
NKSH;129536;USD;2011;Q3;2011-09-30;2011-11-09;6937974;6945174;4509000;511000;643000;14000;19000;5696000;-284000;-18584000;;-8327000;0;;0;2048000;;-583000
NKSH;129536;USD;2011;Q4;2011-12-31;2012-03-09;6939221;6953976;4889000;518000;753000;14101000;-17090000;3171000;-263000;-21972000;;-25323000;-3609000;;30000;21519000;;-633000
NKSH;129536;USD;2012;Q1;2012-03-31;2012-05-09;6939974;6954637;4429000;519000;672000;-256000;2293000;7657000;-362000;260000;;-19772000;;;;12459000;;344000
NKSH;129536;USD;2012;Q2;2012-06-30;2012-08-08;6939974;6957445;4340000;515000;1104000;-63000;-1537000;4359000;-244000;-7064000;;-3428000;;;;-32000;;899000
NKSH;129536;USD;2012;Q3;2012-09-30;2012-11-07;6941757;6962852;4293000;517000;778000;-222000;-1145000;4221000;-61000;32722000;;6080000;0;;;-10996000;;-695000
NKSH;129536;USD;2012;Q4;2012-12-31;2013-03-08;6947939;6964534;4685000;520000;580000;23241000;-22551000;6475000;-102000;-30478000;;-22619000;-3961000;;60000;18482000;;2338000
NKSH;129536;USD;2013;Q1;2013-03-31;2013-05-08;6947974;6969073;4216000;506000;671000;-165000;3403000;8631000;-24000;6424000;;-3093000;;;;-9647000;;-4109000
NKSH;129536;USD;2013;Q2;2013-06-30;2013-08-08;6947974;6968348;4435000;483000;355000;-124000;-1749000;3400000;-161000;29417000;;1750000;;;;-2350000;;2800000
NKSH;129536;USD;2013;Q3;2013-09-30;2013-11-08;6947974;6972769;4517000;496000;303000;-72000;1942000;7186000;15000;-1792000;;8169000;0;;;-15023000;;332000
NKSH;129536;USD;2013;Q4;2013-12-31;2014-03-12;6947974;6963382;4622000;490000;202000;18158000;-18239000;5233000;-95000;-43508000;;-38265000;-4029000;;;32509000;;-523000
NKSH;129536;USD;2014;Q1;2014-03-31;2014-05-12;6947974;6963865;4404000;488000;103000;1231000;300000;6526000;254000;-5415000;;-9136000;;;;4050000;;1440000
NKSH;129536;USD;2014;Q2;2014-06-30;2014-08-06;6947974;6960683;4109000;479000;701000;-532000;-1997000;2760000;-232000;-2423000;;-1122000;;;;-444000;;1194000
NKSH;129536;USD;2014;Q3;2014-09-30;2014-11-03;6948681;6956777;4263000;490000;356000;6964000;-5911000;6162000;-151000;15766000;;9218000;0;;;-18482000;;-3102000
NKSH;129536;USD;2014;Q4;2014-12-31;2015-03-11;6950527;6955211;4138000;488000;481000;2104000;-2321000;4890000;123000;-24751000;;-34284000;-4032000;;0;29473000;;79000
NKSH;129536;USD;2015;Q1;2015-03-31;2015-05-07;6950474;6955023;3966000;489000;201000;2441000;-1123000;5974000;-58000;-1462000;;-8945000;;;;2529000;;-442000
